Fecha,Ultima actualizacion,Topic,Fuente,Resumen noticia,Link,Analisis sentimental
"lunes, 19 de diciembre de 2022",Hace 2 horas,Inicio,RTVE,El TC decide sobre el recurso del PP para frenar su renovación,https://news.google.com/articles/CBMihQFodHRwczovL3d3dy5ydHZlLmVzL25vdGljaWFzLzIwMjIxMjE5L2NvbnN0aXR1Y2lvbmFsLWRlY2lkZS1zb2JyZS1yZWN1cnNvLWRlbC1wYXJ0aWRvLXBvcHVsYXItcGFyYS1mcmVuYXItc3UtcmVub3ZhY2lvbi8yNDEyMTk2LnNodG1s0gGFAWh0dHBzOi8vYW1wLnJ0dmUuZXMvbm90aWNpYXMvMjAyMjEyMTkvY29uc3RpdHVjaW9uYWwtZGVjaWRlLXNvYnJlLXJlY3Vyc28tZGVsLXBhcnRpZG8tcG9wdWxhci1wYXJhLWZyZW5hci1zdS1yZW5vdmFjaW9uLzI0MTIxOTYuc2h0bWw?hl=es&gl=ES&ceid=ES%3Aes,0
"lunes, 19 de diciembre de 2022",Hace 2 horas,Inicio,El Mundo,El TC rechaza las recusaciones que pedían los magistrados progresistas y votará si paraliza el plan,https://news.google.com/articles/CBMiRmh0dHBzOi8vd3d3LmVsbXVuZG8uZXMvZXNwYW5hLzIwMjIvMTIvMTkvNjNhMDE3MzBmZGRkZmY1NDk3OGI0NTc0Lmh0bWzSAUZodHRwczovL2FtcC5lbG11bmRvLmVzL2VzcGFuYS8yMDIyLzEyLzE5LzYzYTAxNzMwZmRkZGZmNTQ5NzhiNDU3NC5odG1s?hl=es&gl=ES&ceid=ES%3Aes,0
"lunes, 19 de diciembre de 2022",Hace 11 minutos,Inicio,EL PAÍS,"Debate del Constitucional, en directo | El bloque conservador impide votar en el Senado la reforma sobre su propia renovación",https://news.google.com/articles/CBMifWh0dHBzOi8vZWxwYWlzLmNvbS9lc3BhbmEvMjAyMi0xMi0xOS9lbC1wbGVuby1kZWwtdHJpYnVuYWwtY29uc3RpdHVjaW9uYWwtc29icmUtbGEtcmVmb3JtYS1sZWdhbC1kZWwtY29uZ3Jlc28tZW4tZGlyZWN0by5odG1s0gGMAWh0dHBzOi8vZWxwYWlzLmNvbS9lc3BhbmEvMjAyMi0xMi0xOS9lbC1wbGVuby1kZWwtdHJpYnVuYWwtY29uc3RpdHVjaW9uYWwtc29icmUtbGEtcmVmb3JtYS1sZWdhbC1kZWwtY29uZ3Jlc28tZW4tZGlyZWN0by5odG1sP291dHB1dFR5cGU9YW1w?hl=es&gl=ES&ceid=ES%3Aes,0
"lunes, 19 de diciembre de 2022",Hace 12 horas,Inicio,AGENCIA EFE,El pleno del Constitucional decide si frena la reforma que busca renovarlo,https://news.google.com/articles/CCAiC1Nndl9NYlltcmFNmAEB?hl=es&gl=ES&ceid=ES%3Aes,0
"lunes, 19 de diciembre de 2022",Hace 5 horas,Inicio,EL PAÍS,La UE llega a un acuerdo para imponer un tope máximo de 180 euros sobre el precio del gas,https://news.google.com/articles/CBMihQFodHRwczovL2VscGFpcy5jb20vZWNvbm9taWEvMjAyMi0xMi0xOS9sYS11ZS1sbGVnYS1hLXVuLWFjdWVyZG8tcGFyYS1pbXBvbmVyLXVuLXRvcGUtbWF4aW1vLWRlLTE4MC1ldXJvcy1zb2JyZS1lbC1wcmVjaW8tZGVsLWdhcy5odG1s0gEA?hl=es&gl=ES&ceid=ES%3Aes,0
"lunes, 19 de diciembre de 2022",Hace 5 horas,Inicio,Europa Press,Los países de la UE acuerdan un tope de 180 euros al gas con el apoyo de Alemania,https://news.google.com/articles/CCAiC1g1d2g4Rk92WnU0mAEB?hl=es&gl=ES&ceid=ES%3Aes,0
"lunes, 19 de diciembre de 2022",Hace 6 horas,Inicio,Cadena SER,La Unión Europea llega a un acuerdo para fijar en 180 euros el precio máximo del gas,https://news.google.com/articles/CBMigAFodHRwczovL2NhZGVuYXNlci5jb20vbmFjaW9uYWwvMjAyMi8xMi8xOS9sYS11bmlvbi1ldXJvcGVhLWxsZWdhLWEtdW4tYWN1ZXJkby1wYXJhLWZpamFyLWVuLTE4MC1ldXJvcy1lbC10b3BlLWFsLWdhcy1jYWRlbmEtc2VyL9IBAA?hl=es&gl=ES&ceid=ES%3Aes,0
"lunes, 19 de diciembre de 2022",Hace 3 horas,Inicio,El Mundo,¿Cómo afectará el tope al gas europeo a España? Las claves de la nueva medida,https://news.google.com/articles/CBMiSGh0dHBzOi8vd3d3LmVsbXVuZG8uZXMvZWNvbm9taWEvMjAyMi8xMi8xOS82M2EwOWU2OGZkZGRmZjA4Mzk4YjQ1YzEuaHRtbNIBAA?hl=es&gl=ES&ceid=ES%3Aes,0
"lunes, 19 de diciembre de 2022",Hace 1 hora,Inicio,BBC News Mundo,Los cuatro cargos que recomienda el Congreso contra Donald Trump por la supuesta participación del expresidente en el ataque al Capitolio,https://news.google.com/articles/CBMiOWh0dHBzOi8vd3d3LmJiYy5jb20vbXVuZG8vbm90aWNpYXMtaW50ZXJuYWNpb25hbC02NDAzMjU1OdIBPWh0dHBzOi8vd3d3LmJiYy5jb20vbXVuZG8vbm90aWNpYXMtaW50ZXJuYWNpb25hbC02NDAzMjU1OS5hbXA?hl=es&gl=ES&ceid=ES%3Aes,0
"lunes, 19 de diciembre de 2022",Hace 1 hora,Inicio,ABC.es,"El comité que investiga el asalto al Capitolio propone acusar a Trump de cuatro cargos, entre ellos insurre...",https://news.google.com/articles/CBMibmh0dHBzOi8vd3d3LmFiYy5lcy9pbnRlcm5hY2lvbmFsL2NvbWl0ZS1pbnZlc3RpZ2EtYXNhbHRvLWNhcGl0b2xpby1wcm9wb25lLWFjdXNhci10cnVtcC0yMDIyMTIxOTIwNTAyMi1udC5odG1s0gFyaHR0cHM6Ly93d3cuYWJjLmVzL2ludGVybmFjaW9uYWwvY29taXRlLWludmVzdGlnYS1hc2FsdG8tY2FwaXRvbGlvLXByb3BvbmUtYWN1c2FyLXRydW1wLTIwMjIxMjE5MjA1MDIyLW50X2FtcC5odG1s?hl=es&gl=ES&ceid=ES%3Aes,0
